subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat_manual,p_value_manual,f_stat_statsmodels,p_value_statsmodels
sub-002,A,P3,Fp1,1,40,80,5.62042984297476,8.84533839230667e-22,5.620429841036761,8.845338588823318e-22
sub-002,A,P3,Fp1,1,50,100,4.785443078702975,2.3562583387558125e-20,4.785443076484047,2.3562584085068086e-20
sub-002,A,P3,Fp1,2,5,10,10.960030470020264,4.381443447353114e-10,10.960030469999312,4.3814434475513005e-10
sub-002,A,P3,Fp1,2,10,20,8.022202246059337,3.868444874274443e-12,8.022202245701367,3.8684448797387126e-12
sub-002,A,P3,Fp1,2,20,40,4.323389816166977,2.198978882263694e-09,4.323389817169213,2.198978867116211e-09
sub-002,A,P3,Fp1,2,30,60,4.362466163989058,1.1411357413803744e-12,4.362466163411788,1.1411357476125957e-12
sub-002,A,P3,Fp1,2,40,80,4.166665820475141,1.8080297069858742e-14,4.166665820268334,1.8080297113300984e-14
sub-002,A,P3,Fp1,2,50,100,3.5415233440610767,4.163659521875443e-13,3.541523343326745,4.163659562768227e-13
sub-002,A,P3,Fp1,3,5,10,12.643937940351538,1.1679450126809645e-11,12.643937940233936,1.1679450129756324e-11
sub-002,A,P3,Fp1,3,10,20,4.07735046948424,1.971072028364374e-05,4.077350466654841,1.9710720495355312e-05
sub-002,A,P3,Fp1,3,20,40,4.6442055148854235,2.405990776294103e-10,4.644205519642705,2.405990697112653e-10
sub-002,A,P3,Fp1,3,30,60,4.563175408377818,1.7051719932089071e-13,4.563175372599341,1.7051725715615992e-13
sub-002,A,P3,Fp1,3,40,80,4.626459071408131,8.623989638231437e-17,4.626459041931668,8.623992592593166e-17
sub-002,A,P3,Fp1,3,50,100,3.3785435038570615,3.6651486941681025e-12,3.3785434922761133,3.665149259244275e-12
sub-002,A,P3,Fp1,4,5,10,11.864937286001341,6.228975589234723e-11,11.864937286016627,6.228975589029756e-11
sub-002,A,P3,Fp1,4,10,20,21.36211653165052,9.049356149559937e-34,21.362116532057044,9.049356136769342e-34
sub-002,A,P3,Fp1,4,20,40,8.026743656505264,1.55821148141966e-20,8.026743656368808,1.5582114828750758e-20
sub-002,A,P3,Fp1,4,30,60,7.6828870993401095,3.4651917955191485e-26,7.6828870987721105,3.4651918134712994e-26
sub-002,A,P3,Fp1,4,40,80,5.361446513131155,1.7353342921542878e-20,5.361446513457137,1.7353342856371984e-20
sub-002,A,P3,Fp1,4,50,100,4.855050508702613,9.315415625291078e-21,4.855050508566759,9.315415642151263e-21
sub-002,A,Fp1,P3,0,5,10,23.423456130955824,2.0297919283822416e-21,23.42345613089224,2.0297919286428568e-21
